#   n Coefficients         ∆H
   0 0.0000526837724457   -6349
   1 0.0000152163483729   -6269
   2 0.0000240119742949   -6189
   3 0.0000166352828926   -6109
   4 0.0000323605435686   -6029
   5 0.0000223432806065   -5949
   6 0.0000288671227960   -5869
   7 0.0000042495983410   -5789
   8 0.0000152081881184   -5709
   9 0.0000147876787083   -5629
  10 0.0000407332943761   -5549
  11 0.0000291370205424   -5469
  12 0.0000185907088976   -5389
  13 0.0000077371905103   -5309
  14 0.0000349920679056   -5219
  15 0.0000030886574716   -5139
  16 0.0000345887305254   -5059
  17 0.0000201571188428   -4979
  18 0.0000041021774026   -4899
  19 0.0000273859924401   -4819
  20 0.0000193416566988   -4739
  21 0.0000191726374898   -4659
  22 0.0000252753382474   -4579
  23 0.0000168914554898   -4499
  24 0.0000061561352896   -4419
  25 0.0000340497324334   -4339
  26 0.0000134091601727   -4259
  27 0.0000264411040371   -4169
  28 0.0000057300243634   -4089
  29 0.0000148354102303   -4009
  30 0.0000229193928724   -3929
  31 0.0000310723466317   -3849
  32 0.0000113815693001   -3769
  33 0.0000185076501299   -3689
  34 0.0000252685193370   -3609
  35 0.0000031046666037   -3529
  36 0.0000333736236052   -3449
  37 0.0000203362249798   -3369
  38 0.0000000000000000   -3289
  39 0.0000346113277308   -3199
  40 0.0000175195978723   -3119
  41 0.0000628482950200   -3039
  42 0.0000364020328972   -2959
  43 0.0000000000000000   -2879
  44 0.0000000000000000   -2799
  45 0.0000000000000000   -2719
  46 0.0000000000000000   -2639
  47 0.0000000000000000   -2559
  48 0.0000000000000000   -2479
  49 0.0000000000000000   -2399
  50 0.0000000000000000   -2319
  51 0.0000000000000000   -2239
  52 0.0000000000000000   -2149
  53 0.0000000000000000   -2069
  54 0.0000000000000000   -1989
  55 0.0000000000000000   -1909
  56 0.0000000000000000   -1829
  57 0.0000000000000000   -1749
  58 0.0000000000000000   -1669
  59 0.0000000000000000   -1589
  60 0.0000000000000000   -1509
  61 0.0000000000000000   -1429
  62 0.0000000000000000   -1349
  63 0.0000000000000000   -1269
  64 0.0000000000000000   -1179
  65 0.0000000000000000   -1099
  66 0.0000000000000000   -1019
  67 0.0000000000000000   -939
  68 0.0000000000000000   -859
  69 0.0000000000000000   -779
  70 0.0000000000000000   -699
  71 0.0000000000000000   -619
  72 0.0000000000000000   -539
  73 0.0000000000000000   -459
  74 0.0000000000000000   -379
  75 0.0000000000000000   -289
  76 0.0000000000000000   -209
  77 0.0000000000000000   -129
  78 0.0000000000000000   -49
  79 0.0000000000000000   31
  80 0.0000000000000000   111
  81 0.0000000000000000   191
  82 0.0000000000000000   271
  83 0.0000000000000000   351
  84 0.0000000000000000   431
  85 0.0000000000000000   511
  86 0.0000000000000000   591
  87 0.0000000000000000   681
  88 0.0000000000000000   761
  89 0.0000000000000000   841
  90 0.0000000000000000   921
  91 0.0000000000000000   1001
