#   n Coefficients         ∆H
   0 0.0000000000000000   -32000041
   1 0.0000001518016766   -30495741
   2 0.0000001624366804   -29025541
   3 0.0000001766432659   -27589441
   4 0.0000002629638633   -26187541
   5 0.0000002594817231   -24819841
   6 0.0000001331783907   -23486141
   7 0.0000008888677644   -22186641
   8 0.0000000000000000   -20921241
   9 0.0000003628870355   -19689941
  10 0.0000019755418361   -18492841
  11 0.0000000000000000   -17329841
  12 0.0000000000000000   -16200941
  13 0.0000031955769144   -15106241
  14 0.0000038107716593   -14045641
  15 0.0000000000000000   -13019141
  16 0.0000000000000000   -12026741
  17 0.0000082847989674   -11068541
  18 0.0000114812325506   -10144441
  19 0.0000024496557399   -9254441
  20 0.0000002465879216   -8398641
  21 0.0000154841976527   -7576901
  22 0.0000284424956241   -6789311
  23 0.0000235456672268   -6035841
  24 0.0000051075352406   -5316501
  25 0.0000112443508249   -4631291
  26 0.0000416724642797   -3980201
  27 0.0000594171754092   -3363241
  28 0.0000553079946784   -2780401
  29 0.0000320597623769   -2231691
  30 0.0000553639309290   -1717101
  31 0.0001189157310465   -1236641
  32 0.0001584636430493   -790301
  33 0.0001604088321104   -378091
  34 0.0000000000000000   -1
  35 0.0001675831446093   1
  36 0.0001719260351708   378091
  37 0.0001597767965527   790301
  38 0.0001149085640138   1236641
  39 0.0000362653718244   1717101
  40 0.0000604669053909   2231691
  41 0.0000305089724766   2780401
  42 0.0000367769746823   3363241
  43 0.0000565256051579   3980201
  44 0.0000379783966500   4631291
  45 0.0000000000000000   5316501
  46 0.0000003895273326   6035841
  47 0.0000043924008574   6789311
  48 0.0000015298933956   7576901
  49 0.0000112039644486   8398641
  50 0.0000270818386492   9254441
  51 0.0000234990071978   10144441
  52 0.0000002725218878   11068541
  53 0.0000000000000000   12026741
  54 0.0000000000000000   13019141
  55 0.0000000000000000   14045641
  56 0.0000021116918444   15106241
  57 0.0000091590887757   16200941
  58 0.0000142336885592   17329841
  59 0.0000174182845162   18492841
  60 0.0000057541950356   19689941
  61 0.0000000000000000   20921241
  62 0.0000000000000000   22186641
  63 0.0000000000000000   23486141
  64 0.0000000920654522   24819841
  65 0.0000033285674412   26187541
  66 0.0000058347116391   27589441
  67 0.0000063724052004   29025541
  68 0.0000244461553490   30495741
  69 0.0000036988579062   32000041
